,FaZe Clan,fnatic,2.0
,FaZe Clan,TSM,2.0
,FaZe Clan,TSM,2.0
,fnatic,dignitas,2.0
,fnatic,dignitas,3.0
,TSM,dignitas,2.0
,TSM,dignitas,3.0
,TSM,fnatic,3.0
,TSM,fnatic,2.0
,TSM,fnatic,2.0
,,dignitas,2.0
,,dignitas,2.0
,FaZe Clan,fnatic,2.0
,FaZe Clan,fnatic,3.0
,Echo Fox,NaVi,3.0
,Echo Fox,NaVi,2.0
,,FlipSid3,2.0
,mousesports,FlipSid3,3.0
,mousesports,NaVi,3.0
,mousesports,NaVi,2.0
,mousesports,Echo Fox,2.0
,mousesports,Echo Fox,3.0
,NaVi,FlipSid3,2.0
,NaVi,FlipSid3,3.0
,Echo Fox,FlipSid3,2.0
,Echo Fox,FlipSid3,2.0
,Echo Fox,,3.0
,Echo Fox,,3.0
,FlipSid3,mousesports,2.0
,FlipSid3,mousesports,2.0
,NaVi,FlipSid3,2.0
,NaVi,FlipSid3,2.0
,compLexity,Virtus Pro,2.0
,compLexity,Virtus Pro,2.0
,EnVyUs,Gambit,2.0
,EnVyUs,Gambit,3.0
,EnVyUs,Virtus Pro,2.0
,EnVyUs,compLexity,2.0
,EnVyUs,compLexity,3.0
,Virtus Pro,Gambit,3.0
,Virtus Pro,Gambit,2.0
,compLexity,Gambit,2.0
,compLexity,Gambit,3.0
,compLexity,EnVyUs,3.0
,compLexity,EnVyUs,3.0
,Virtus Pro,Gambit,2.0
,Virtus Pro,Gambit,3.0
,Virtus Pro,EnVyUs,2.0
,Virtus Pro,EnVyUs,3.0
,FlipSid3,Renegades,2.0
,FlipSid3,Renegades,2.0
,Virtus Pro,Gambit,2.0
,Virtus Pro,Gambit,2.0
,mousesports,G2 Esports,2.0
,mousesports,G2 Esports,3.0
,mousesports,G2 Esports,2.0
,,FaZe Clan,2.0
,CLG,FaZe Clan,2.0
,,FaZe Clan,2.0
,Virtus Pro,Renegades,2.0
,Virtus Pro,Renegades,2.0
,mousesports,FaZe Clan,3.0
,mousesports,FaZe Clan,3.0
,mousesports,FaZe Clan,3.0
,fnatic,EnVyUs,3.0
,fnatic,EnVyUs,3.0
,Cloud9,NaVi,3.0
,Cloud9,NaVi,3.0
,mousesports,Astralis,3.0
,mousesports,Astralis,2.0
,Ninjas in Pyjamas,Virtus Pro,3.0
,,Virtus Pro,2.0
,NaVi,fnatic,3.0
,NaVi,fnatic,2.0
,Virtus.pro,mousesports,3.0
,Virtus.pro,mousesports,2.0
,Virtus.pro,fnatic,2.0
,Virtus.pro,fnatic,3.0
,Virtus.pro,Splyce,3.0
,HellRaisers,OpTic Gaming,2.0
,OpTic Gaming,Splyce,2.0
,Team Dignitas,Tempo Storm,3.0
,Tempo Storm,Virtus.pro,3.0
,Ninjas in Pyjamas,Luminosity,2.0
,G2 eSports,Liquid,2.0
,TSM,Astralis,2.0
,C9,fnatic,3.0
,Liquid,Luminosity,2.0
,TSM,fnatic,2.0
,G2 eSports,Ninjas in Pyjamas,2.0
,G2 eSports,Liquid,3.0
,G2 eSports,Liquid,3.0
