2303524-1,0.0,Cloud9,NaVi,3.0
2303525-0,0.0,mousesports,Astralis,3.0
2303525-1,0.0,mousesports,Astralis,2.0
2303526-0,0.0,Ninjas in Pyjamas,Virtus Pro,3.0
2303526-1,0.0,Ninjas in Pyjamas,Virtus Pro,2.0
2303594-0,0.0,NaVi,fnatic,3.0
2303594-1,0.0,NaVi,fnatic,2.0
2303595-0,0.0,Virtus.pro,mousesports,3.0
2303595-1,0.0,Virtus.pro,mousesports,2.0
2303676-0,0.0,Virtus.pro,fnatic,2.0
2303676-1,0.0,Virtus.pro,fnatic,3.0
2302433-2,0.0,Splyce,Virtus.pro,3.0
2302435-2,0.0,OpTic Gaming,HellRaisers,2.0
2302452-2,0.0,Splyce,OpTic Gaming,2.0
2302454-2,0.0,Tempo Storm,Team Dignitas,3.0
2302460-5,0.0,Virtus.pro,Tempo Storm,3.0
2303182-0,0.0,Ninjas in Pyjamas,Luminosity,2.0
2303183-0,0.0,G2 eSports,Liquid,2.0
2303184-0,0.0,TSM,Astralis,2.0
2303185-0,0.0,C9,fnatic,3.0
2303209-0,0.0,Liquid,Luminosity,2.0
2303210-0,0.0,TSM,fnatic,2.0
2303212-0,0.0,G2 eSports,Ninjas in Pyjamas,2.0
2303216-0,0.0,G2 eSports,Liquid,3.0
2303216-1,0.0,G2 eSports,Liquid,3.0
2303216-2,0.0,G2 eSports,Liquid,2.0
2303218-0,0.0,C9,Astralis,2.0
2303218-1,0.0,C9,Astralis,3.0
2303219-0,0.0,C9,TSM,2.0
2303219-1,0.0,C9,TSM,2.0
2303223-0,0.0,G2 eSports,fnatic,3.0
2303223-1,0.0,G2 eSports,fnatic,2.0
2303224-0,0.0,TSM,Luminosity,3.0
2303224-1,0.0,TSM,Luminosity,3.0
2303225-0,0.0,G2 eSports,Luminosity,2.0
2303225-1,0.0,G2 eSports,Luminosity,3.0
2304443-2,0.0,OpTic Gaming,Heroic,2.0
2304447-2,0.0,Heroic,Cloud 9,3.0
2304448-2,0.0,Immortals,Echo Fox,2.0
2306576-0,0.0,compLexity,G2 Esports,2.0
2306577-0,0.0,CLG,Team EnVyUs,3.0
2306578-0,0.0,Heroic,Team Liquid,2.0
2306590-0,0.0,OpTic Gaming,Team EnVyUs,3.0
2306595-2,0.0,Team Liquid,G2 Esports,2.0
2306606-2,0.0,OpTic Gaming,Heroic,3.0
2303745-2,0.0,Escape Gaming,Epsilon,2.0
2307057-0,0.0,Cloud9,FaZe Clan,2.0
2307058-0,0.0,FaZe Clan,Astralis,3.0
2307059-0,0.0,dignitas,SK Gaming,3.0
2307061-0,0.0,EnVyUs,dignitas,2.0
2307062-0,0.0,Cloud9,OpTic Gaming,2.0
2307062-1,0.0,Cloud9,OpTic Gaming,2.0
2307062-2,0.0,Cloud9,OpTic Gaming,3.0
2307063-0,0.0,Immortals,SK Gaming,3.0
2307063-1,0.0,Immortals,SK Gaming,3.0
2307064-0,0.0,OpTic Gaming,FaZe Clan,3.0
2307064-1,0.0,OpTic Gaming,FaZe Clan,2.0
2307064-2,0.0,OpTic Gaming,FaZe Clan,2.0
2307065-0,0.0,SK Gaming,dignitas,3.0
2307065-1,0.0,SK Gaming,dignitas,3.0
2307065-2,0.0,SK Gaming,dignitas,3.0
2307141-0,0.0,OpTic Gaming,EnVyUs,3.0
2307141-1,0.0,OpTic Gaming,EnVyUs,2.0
2307142-0,0.0,SK Gaming,Astralis,3.0
2307142-1,0.0,SK Gaming,Astralis,2.0
2307143-0,0.0,Astralis,OpTic Gaming,2.0
2307143-1,0.0,Astralis,OpTic Gaming,2.0
2304945-0,0.0,The Mongolz,MVP Karnal,3.0
2304946-0,0.0,dream[S]cape,Risky Gaming,2.0
2304947-0,0.0,NEW4,MVP project,3.0
2304948-0,0.0,Team Invictus,ALLGAMERS.,3.0
2304949-0,0.0,Renegades,EHOME,2.0
2304950-0,0.0,nxl>,Rascal Jester,3.0
