2302519-0,STEAM_1:0:377643,n0thing,Cloud9
2302519-0,STEAM_1:0:2257963,shroud,Cloud9
2302520-0,STEAM_1:0:80795,KoOsta,Liquid
2302520-0,STEAM_1:1:81679260,Team > Nifty,Selfless
2302520-0,STEAM_1:0:141156180,Team > mitch,Selfless
2302520-0,STEAM_1:0:5286395,Team > Relyks,Selfless
2302520-0,STEAM_1:1:47387380,Team > Uber,Selfless
2302520-0,STEAM_1:0:17812001,nitr0JeNgA,Liquid
2302520-0,STEAM_1:1:53214005,EliGEQ2,Liquid
2302520-0,STEAM_1:1:683016,adreN,Liquid
2302520-0,STEAM_1:1:1395,Hiko,Liquid
2302520-0,STEAM_1:0:4847332,Team > MAiNLiNE,Selfless
2302521-0,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
2302521-0,STEAM_1:0:26438284,LG * TACO <CyberPower>,Luminosity
2302521-0,STEAM_1:0:85089287,LG * fnxNTC -aa-,Luminosity
2302521-0,STEAM_1:0:2257963,shroud,Cloud9
2302521-0,STEAM_1:1:189358,Slemmy,Cloud9
2302521-0,STEAM_1:1:39860435,LG * coldzera:v <HyperX>,Luminosity
2302521-0,STEAM_1:0:377643,n0thing,Cloud9
2302521-0,STEAM_1:1:212233,LG * FALLEN <Wild>,Luminosity
2302521-0,STEAM_1:1:19460609,LG * ferMii <EGB>,Luminosity
2302521-0,STEAM_1:1:10537862,Skadoodle,Cloud9
2302522-0,STEAM_1:0:17812001,nitr0JeNgA,Liquid
2302522-0,STEAM_1:0:29056836,TS boltz,Tempo Storm
2302522-0,STEAM_1:0:11382883,TS felps <Curse>,Tempo Storm
2302522-0,STEAM_1:0:2390312,TS LUCAS1 <GFUEL>,Tempo Storm
2302522-0,STEAM_1:1:28880767,TS HEN1 <Twitch>,Tempo Storm
2302522-0,STEAM_1:0:48969457,TS SHOOWTiME <g2a>,Tempo Storm
2302522-0,STEAM_1:1:1395,Hiko,Liquid
2302522-0,STEAM_1:1:683016,adreN,Liquid
2302522-0,STEAM_1:0:80795,KoOsta,Liquid
2302522-0,STEAM_1:1:53214005,EliGEQ2,Liquid
2302523-0,STEAM_1:1:15152890,CLG hazed,CLG
2302523-0,STEAM_1:1:50267148,Splyce D4V3Y   /s/,Splyce
2302523-0,STEAM_1:1:622699,Splyce summit,Splyce
2302523-0,STEAM_1:1:205888,Splyce arya,Splyce
2302523-0,STEAM_1:1:9108123,CLG tarik,CLG
2302523-0,STEAM_1:1:8441535,fREAKAZOiD,Splyce
2302523-0,STEAM_1:0:3611826,CLG tjm^v^,CLG
2302523-0,STEAM_1:0:259380,CLG Cutler,CLG
2302523-0,STEAM_1:0:54380041,CLG FugLy,CLG
2302523-0,STEAM_1:1:12434296,Splyce JR,Splyce
2302523-1,STEAM_1:0:259380,CLG Cutler,CLG
