2300584-0,16,Flipsid3 ESP,CLG,2,-9850,-1800,0,1,4,9,4,5
2300584-1,1,Flipsid3 ESP,CLG,3,7100,900,1,0,11,6,3,4
2300584-1,16,CLG,Flipsid3 ESP,2,-10150,-1200,1,1,2,2,4,4
2300585-0,1,EnVyUs,dignitas,3,7400,1800,0,0,5,5,5,5
2300585-0,16,dignitas,EnVyUs,2,-10450,300,1,0,3,8,4,2
2300585-1,1,EnVyUs,dignitas,3,10450,2100,1,0,2,0,4,5
2300585-1,16,dignitas,EnVyUs,2,-10750,-1200,0,0,3,3,4,3
2300586-0,1,EnVyUs,CLG,2,-10450,-1800,1,0,7,5,4,5
2300586-0,16,CLG,EnVyUs,3,10450,1200,1,3,2,5,4,5
2300586-1,1,EnVyUs,CLG,3,7700,1800,1,1,7,6,4,4
2300586-1,16,CLG,EnVyUs,3,7400,1800,0,0,3,3,4,3
2300586-2,1,EnVyUs,CLG,2,-10450,-1200,1,0,7,6,4,4
2300586-2,16,CLG,EnVyUs,3,10450,2400,0,0,0,5,5,3
2300591-0,1,Cloud9,G2.Kinguin,2,-10750,-2400,0,0,9,6,4,5
2300591-0,16,G2.Kinguin,Cloud9,3,6800,600,0,0,3,5,4,4
2300591-1,1,Cloud9,G2.Kinguin,3,9850,1200,0,0,8,6,4,4
2300591-1,16,G2.Kinguin,Cloud9,2,-11400,-1800,0,0,4,4,4,4
2300591-2,1,Cloud9,G2.Kinguin,3,10150,1800,0,0,8,6,4,4
2300591-2,16,G2.Kinguin,Cloud9,2,-10750,-2400,0,0,7,5,3,5
2300592-0,1,Method,Astralis,3,7400,1800,0,0,7,9,4,4
2300592-0,16,Astralis,Method,3,9850,1800,1,1,2,1,5,4
2300592-1,1,Astralis,Method,3,7400,1500,2,0,8,5,3,4
2300592-1,16,Method,Astralis,3,10750,-6300,0,0,0,3,5,4
2300593-0,1,Method,Cloud9,3,10150,1200,0,0,8,8,4,4
2300593-0,16,Cloud9,Method,3,7400,1200,0,0,7,3,3,4
2300593-1,1,Cloud9,Method,2,-10150,-1200,0,0,11,5,3,4
2300593-1,16,Method,Cloud9,2,-10150,-300,1,0,0,2,5,4
2300594-0,1,Astralis,G2.Kinguin,3,10150,600,0,0,10,6,3,4
2300594-0,16,G2.Kinguin,Astralis,3,9850,0,0,0,5,2,3,4
2300594-1,1,Astralis,G2.Kinguin,3,6800,300,1,0,9,7,4,5
2300594-1,16,G2.Kinguin,Astralis,3,10400,2400,2,0,6,3,5,4
2300595-0,1,Cloud9,G2.Kinguin,3,10750,1800,0,0,12,5,3,5
2300595-0,16,G2.Kinguin,Cloud9,3,10750,-400,0,0,3,2,4,4
2300595-1,1,G2.Kinguin,Cloud9,3,7400,1800,0,0,7,7,5,4
2300595-1,16,Cloud9,G2.Kinguin,3,7100,600,0,0,5,1,4,4
2300616-0,1,EnVyUs,Cloud9,3,9850,900,1,0,7,8,4,4
2300616-0,16,Cloud9,EnVyUs,3,10450,600,0,2,6,4,3,4
2300616-1,1,Cloud9,EnVyUs,3,9850,600,0,0,9,6,4,4
2300616-1,16,EnVyUs,Cloud9,3,9850,1500,1,0,2,3,4,4
2300617-0,1,CLG,G2.Kinguin,3,10150,1200,0,0,7,6,4,5
2300617-0,16,G2.Kinguin,CLG,3,7400,-600,0,0,11,2,1,4
2300617-1,1,G2.Kinguin,CLG,3,10150,1800,0,0,5,7,5,5
2300617-1,16,CLG,G2.Kinguin,3,10750,2700,1,0,2,1,4,5
2300617-2,1,CLG,G2.Kinguin,3,10450,1500,1,0,9,6,3,5
2300617-2,16,G2.Kinguin,CLG,2,-10750,-2400,0,1,6,2,3,4
2300634-0,1,EnVyUs,Astralis,3,6800,0,2,0,8,7,3,4
2300634-0,16,Astralis,EnVyUs,3,7400,900,1,1,5,3,3,4
2300634-1,1,EnVyUs,Astralis,2,-10750,-1800,0,0,8,9,4,4
2300634-1,16,Astralis,EnVyUs,3,10150,2400,4,0,5,3,4,4
2300634-2,1,EnVyUs,Astralis,2,-10750,-1800,2,0,8,9,3,4
