/events/1616/faceit-league-2015-stage-2-finals-at-dreamhack-valencia,FACEIT League 2015 Stage 2 Finals at DreamHack Valencia,07/18/2015,Intl. LAN
/events/1707/eswc-2015,ESWC 2015,07/12/2015,Intl. LAN
/events/1753/esl-esea-pro-league-season-1-finals,ESL ESEA Pro League Season 1 Finals,07/05/2015,Intl. LAN
/events/1620/gfinity-2015-summer-masters-1,Gfinity 2015 Summer Masters 1,06/28/2015,Intl. LAN
/events/1815/gaming-paradise-inhouse-qualifier,Gaming Paradise Inhouse Qualifier,06/25/2015,Intl. LAN
/events/1607/sltv-starseries-xiii-finals,SLTV StarSeries XIII Finals,06/21/2015,Intl. LAN
/events/1614/dreamhack-open-summer-2015,DreamHack Open Summer 2015,06/15/2015,Intl. LAN
/events/1673/fragbite-masters-season-4-finals,Fragbite Masters Season 4 Finals,06/07/2015,Intl. LAN
/events/1619/gfinity-2015-spring-masters-2,Gfinity 2015 Spring Masters 2,05/17/2015,Intl. LAN
/events/1613/dreamhack-open-tours-2015,DreamHack Open Tours 2015,05/10/2015,Intl. LAN
/events/1606/faceit-league-2015-stage-1-finals,FACEIT League 2015 Stage 1 Finals,05/03/2015,Intl. LAN
/events/1612/ccs-kick-off-season-finals,CCS Kick-off Season Finals,04/26/2015,Intl. LAN
/events/1651/esea-invite-season-18-global-finals,ESEA Invite Season 18 Global Finals,04/19/2015,Intl. LAN
/events/1702/esl-pro-league-winter-2014-15-finals,ESL Pro League Winter 2014/15 Finals,04/12/2015,Intl. LAN
/events/1610/copenhagen-games-2015,Copenhagen Games 2015,04/04/2015,Intl. LAN
/events/1605/sltv-starseries-xii-finals,SLTV StarSeries XII Finals,03/29/2015,Intl. LAN
/events/1618/gfinity-2015-spring-masters-1,Gfinity 2015 Spring Masters 1,03/22/2015,Intl. LAN
/events/1611/esl-one-katowice-2015,ESL One Katowice 2015,03/15/2015,Major
/events/1644/esl-one-katowice-2015-main-qualifier,ESL One Katowice 2015 Main Qualifier,02/15/2015,Intl. LAN
/events/1622/inferno-online-pantamera-challenge,Inferno Online Pantamera Challenge,02/07/2015,Intl. LAN
/events/1602/clutchcon-2015,ClutchCon 2015,02/01/2015,Intl. LAN
/events/1601/asus-rog-winter-2015,ASUS ROG Winter 2015,01/31/2015,Intl. LAN
/events/1600/mlg-x-games-aspen-2015,MLG X-Games Aspen 2015,01/25/2015,Intl. LAN
/events/2720/pgl-major-krakow-2017,PGL Major Krakow 2017,07/23/2017,Major
